name,description,log2FoldChange,pvalue,padj
ENSG00000234022.1,AC008278.2,1.24969672346,0.65738921602,1
ENSG00000234026.1,AL157834.2,0.0326206797218,0.951523126173,0.972269510696
ENSG00000234028.3,AC062029.1,-1.06133512091674,0.0173714058827,0.0546371135378
ENSG00000234030.1,TMEM97P1,3.60283704448,0.106043521124,1
ENSG00000234031.1,RPS3AP44,-0.496722328925633,0.905061897529,1
ENSG00000234036.4,TXNP6,2.32556631356,0.0381991271903,0.0996691343345
ENSG00000234040.3,RPL10P12,-0.377213738297988,0.928890099895,1
ENSG00000234042.1,AL591438.2,0.943283678036,0.74467336322,1
ENSG00000234043.3,NUDT9P1,-0.708820629038538,0.576478539374,1
ENSG00000234048.1,FAM96AP1,2.17377627428,0.612996480931,1
ENSG00000234050.1,Z95624.1,1.15545732642,0.340509727146,1
ENSG00000234055.1,AL158151.2,0.534478366129,0.0354235960957,0.0941680247678
ENSG00000234056.1,LINC00463,0.132102708906,0.947302474199,1
ENSG00000234061.1,AC007969.2,1.28325964453,0.593187334291,1
ENSG00000234062.7,AL390879.1,-0.159453761871706,0.718431232767,0.82112226843
ENSG00000234065.2,MTND4P26,1.32767985729,0.383083733245,1
ENSG00000234067.1,RPL5P10,1.03133056779,0.811653913727,1
ENSG00000234068.6,PAGE2,-1.09834009661463,0.799350887485,1
ENSG00000234070.1,SPATA17-AS1,-1.32124729090823,0.0140080817175,0.0463895297186
ENSG00000234072.1,AC074117.1,0.126995010417,0.464711058474,0.618584762453
ENSG00000234073.1,AC011816.1,1.76884674173,0.682420500423,1
ENSG00000234076.1,TPRG1-AS1,-2.30088109752885,0.484815751673,1
ENSG00000234080.3,AL596275.1,-0.377213738297988,0.928890099895,1
ENSG00000234083.1,AJ006995.1,1.03133056779,0.811653913727,1
ENSG00000234084.1,AL049552.1,1.64722676975,0.00218680144716,0.0110076961224
ENSG00000234091.1,AL157392.2,0.349516230193,0.875629047905,1
ENSG00000234093.3,RPS15AP11,1.29991215394,0.408506152934,1
ENSG00000234102.1,KRT19P4,-1.22011869377663,0.777190586679,1
ENSG00000234104.1,AL133465.1,-1.22011869377663,0.777190586679,1
ENSG00000234106.3,SRP14P2,-0.726401883265297,0.706389241686,1
ENSG00000234107.1,TPT1P1,1.72293164598,0.676396137513,1
ENSG00000234111.6,LINC02433,0.925606637717,0.793725935347,1
ENSG00000234112.2,AC099066.3,1.78610493365,0.661605739623,1
ENSG00000234115.2,AL138878.2,-0.143632901736725,0.956824536561,1
ENSG00000234117.2,AL445224.1,-3.20736754672372,0.127241264589,1
ENSG00000234118.1,RPL13AP6,1.63517525895,0.476016296598,1
ENSG00000234120.1,AF228730.2,1.78610493365,0.661605739623,1
ENSG00000234122.1,TRBV22OR9-2,1.03133056779,0.811653913727,1
ENSG00000234123.1,RHBDF1P1,1.27741985771,0.593212126966,1
ENSG00000234124.6,CSN1S2AP,1.78617066461,0.662970991268,1
ENSG00000234127.8,TRIM26,0.0600568659414,0.732871157293,0.832083680676
ENSG00000234129.7,AC073529.1,-0.725860191230879,0.309289548565,0.466658910836
ENSG00000234130.2,AL359263.1,-1.38278849720833,0.416488344531,1
ENSG00000234134.1,AL158835.2,0.17325756524,0.835440785473,0.900113666539
ENSG00000234136.1,AC055764.1,-0.432957767746081,0.147665407853,0.274695481345
ENSG00000234139.2,AL035420.1,0.0162714160755,0.992691392895,1
ENSG00000234141.1,AC006042.4,-1.0892561834457,0.432219751557,1
ENSG00000234142.1,LINC01675,1.78610493365,0.661605739623,1
ENSG00000234144.1,COX6CP13,3.85224132598,0.186622077169,1
ENSG00000234145.1,NAP1L4P3,-1.37177224244143,0.48942030822,1
ENSG00000234148.2,LINC01961,-0.377008453567362,0.930472371857,1
ENSG00000234149.1,AC018511.2,-0.449796492719068,0.0712337507791,0.159455644251
ENSG00000234155.1,LINC02535,-0.811032519346377,0.771723776596,1
